Unnamed: 0,brand,current_price,ram,storage,os,graphics,processor
212,ASUS,87799.0,32,512,Windows 11,Integrated,Intel Core i7
213,MICROSOFT,111102.0,16,256,Windows 11,Integrated,Snapdragon X
214,HP,45990.0,8,512,Windows 11,Integrated,Intel Core i3
215,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
216,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
217,Ultimus,35999.0,8,512,Windows 11,Integrated,Intel Core i5
218,Lenovo,116992.0,32,1024,Windows 11,Integrated,Intel Core Ultra
219,ASUS,59890.0,16,512,Windows 11,Integrated,Intel Core 5
220,HP,49000.0,8,512,Windows 11,Integrated,Intel Core i3
221,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
222,HP,61149.0,16,512,Windows 11,Integrated,AMD Ryzen 5
223,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
224,Acer,94990.0,16,1024,Windows 11,6 GB Graphics,Intel Core i7
225,Acer,57990.0,8,512,Windows 11,4 GB Graphics,Intel Core i5
226,Lenovo,72990.0,16,512,Windows 11,6 GB Graphics,Intel Core i5
227,Ultimus,15905.0,4,512,Windows 11,Integrated,Intel Core Ultra
228,DELL,65993.0,16,512,Windows 11,Integrated,Intel Core i5
229,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
230,Lenovo,94506.0,16,1024,Windows 11,Integrated,Intel Core Ultra
231,Acer,46990.0,8,512,Windows 11,Integrated,Intel Core i3
232,ASUS,46990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
233,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
234,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
235,Lenovo,52490.0,8,512,Windows 11,Integrated,Intel Core i5
236,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
237,DELL,45250.0,8,512,Windows 11,Integrated,Intel Core 3
238,Lenovo,89990.0,16,512,Windows 11,Integrated,Intel Core Ultra
239,DELL,48990.0,16,512,Windows 11,Integrated,Intel Core i3
240,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
241,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
242,ASUS,45518.0,8,512,Windows 11,Integrated,Intel Core i3
243,DELL,44990.0,8,512,Ubuntu,Integrated,Intel Core i3
244,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
245,HP,51990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
246,ASUS,65990.0,8,512,Windows 11,Integrated,Intel Core i5
247,ASUS,71990.0,32,512,Windows 11,Integrated,Intel Core i5
248,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
249,HP,60990.0,16,512,Windows 11,Integrated,Intel Core i5
250,Acer,46683.0,16,512,Windows 11,Integrated,AMD Ryzen 3
251,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
252,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
253,Acer,44990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
254,Acer,58990.0,16,512,Windows 11,Integrated,Intel Core i5
255,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
256,ASUS,35990.0,8,512,Windows 11,Integrated,Intel Core i3
257,Lenovo,89990.0,16,512,Windows 11,6 GB Graphics,AMD Ryzen 7
258,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
259,MSI,44990.0,16,512,Windows 11,Integrated,Intel Core i3
260,DELL,28990.0,4,256,Windows 10,Integrated,Intel Core Ultra
261,HP,76990.0,16,1024,Windows 11,4 GB Graphics,Intel Core i5
262,ASUS,38990.0,8,512,Windows 11,Integrated,AMD Ryzen 3
263,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
264,Lenovo,72586.0,16,512,Windows 11,Integrated,Intel Core i5
265,ASUS,36990.0,8,512,Windows 11,Integrated,Intel Core i3
266,MICROSOFT,110902.0,16,512,Windows 11,Integrated,Snapdragon X
267,Infinix,82490.0,32,1024,Windows 11,Integrated,Intel Core i9
268,ASUS,103990.0,16,512,Windows 11,Integrated,Intel Core Ultra
269,Lenovo,51990.0,8,512,Windows 11,Integrated,Intel Core i5
270,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
271,MOTOROLA,59990.0,16,512,Windows 11,Integrated,Intel Core Ultra
272,Samsung,59930.0,16,512,Windows 11,Integrated,Intel Core 5
273,Acer,53990.0,16,512,Windows 11,Integrated,Intel Core i5
274,ASUS,88990.0,16,512,Windows 11,Integrated,Intel Core Ultra
275,DELL,49990.0,8,512,Windows 11,Integrated,AMD Ryzen 5
276,Acer,64990.0,16,1024,Windows 11,Integrated,Intel Core i7
277,Acer,70500.0,16,512,Windows 11,Integrated,Intel Core Ultra
278,MICROSOFT,103822.0,16,256,Windows 11,Integrated,Snapdragon X
279,HP,80990.0,16,1024,Windows 11,Integrated,Intel Core Ultra
